skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Inferno	46	sor	inferno	11	19												infernoflame1	infernoflame1	infernoflame1						ln12/4-2																																																																		15	24					infernoflame1	infernoflame2											1	7		rng												SQ	SQ	xx	6	10																								16	30					Lightning								1	1				6	0	4	9	1	1										ln12/2	range	20	frames if monster					20	base ranged (doubled)	3	level range (doubled)	5	Min Mana to start casting									50	damage synergy	16								6															ltng	25	16	16	16	16	16	66	16	16	16	16	16	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Chain Lightning'.blvl)+skill('Hydra'.blvl))*par8/16									500
Telekinesis	47	sor	telekinesis	12	21																				par1																																																				sorceress_cast_lightning				sorceress_telekinesis							light_cast_2																					1	10		none												SC	SC	xx														1									sorceress_telekinesis			16	30					Teleport														1	7	14	-1	1	1																	25	On-screen cast range.	45	Chance to knockback/stun.											67	damage synergy	16				5	2	109		8															ltng	5	5	10	15	20	25	10	10	20	30	40	50	(skill('Teleport'.blvl)+skill('Static Field'.blvl)+skill('Energy Shield'.blvl))*par8/16									500
Fire Ball	48	sor	fire ball											fireball																																																															sorceress_cast_fire											fire_cast_2								fireball													1	5		none												SC	SC	xx																	1						sorceress_cast_fire			16	30					Fire Bolt								1						1	7	10	1	1																																50	damage synergy	16								7															fire	12	12	24	28	32	40	30	15	25	30	35	40	(skill('Fire Bolt'.blvl)+skill('Meteor'.blvl)+skill('Nova'.blvl)+skill('Thunder Storm'.blvl))*par8/16									500
Fire Wall	49	sor	fire wall		139												firewave maker	firewavemaker2																																																											sorceress_cast_fire											fire_cast_2				81					firewave maker												1	4		none												SC	SC	SC					4				1								1						sorceress_cast_fire			16	30					Blaze							35							1	7	44	3	1																																67	damage synergy	16								4															fire	15	9	14	21	21	21	20	9	14	21	21	21	(skill('Blaze'.blvl)+skill('Enchant'.blvl)+skill('Shiver Armor'.blvl))*par8/16									500
Glacial Spike	50	sor	glacial spike											glacialspike										ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																				sorceress_cast_cold											ice_cast_2								glacialspike													1	7		none												SC	SC	SC																	1						sorceress_cast_cold			16	30					Ice Blast								1						1	7	20	1	1																		5	radius	0	radius per level	75	freeze frames	5	freeze frames per level					3	freeze synergy	40	damage synergy	16								7															cold	30	10	20	30	40	50	50	25	30	40	50	60	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8/16									500
Static Field	51	sor	static field		20																34691				ln12																																																				sorceress_cast_lightning											light_cast_1																					1	10		none												SC	SC	xx					4												1						sorceress_cast_lightning			24	25					Telekinesis														1	8	9	0	1										par4	damage %	par3+(skill('Teleport'.blvl)+skill('Telekinesis'.blvl)+skill('Energy Shield'.blvl))*par8	min damage					5	Base radius of effect.	1	Level radius bonus.	1	Minimum Damage.	25	Percent Damage.							1	min dmg synergy	24								8															ltng																						500
Shiver Armor	52	sor	shiver armor		18																	shiverarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par2											attackedinmelee	3																																						sorceress_cast_cold				sorceress_shiverarmor							fire_cast_2	shiverarmor_hit								sparkle				10	sparkle delay	5	sparkle radius	3	sparkle height			1	0		none												SC	SC	xx																							sorceress_cast_cold	ice_cast_3		24	25					Enchant	Fire Wall													1	8	11	0	1	1																	75	% AC base	15	% AC per level	3000	Duration	500	duration per level					250	duration synergy	60	damage synergy	24								7															fire	12	8	16	24	32	48	16	8	16	24	32	48	(skill('Blaze'.blvl)+skill('Enchant'.blvl)+skill('Fire Wall'.blvl))*par8/16						1			500
Meteor	53	sor	meteor		28												meteorcenter	meteorcenter	meteorcenter						ln12																																																				sorceress_cast_fire				sorceress_meteor							fire_cast_2				28					meteorcenter												1	6		none												SC	SC	xx					4				1								1						sorceress_cast_fire	fire_cast_2		24	25					Fire Ball							25							1	8	17	2	1										ln12+(skill('Thunder Storm'.blvl)+skill('Nova'.blvl)+skill('Fire Ball'.blvl)+skill('Fire Bolt'.blvl))/8*par7	radius							6	radius of explosion	0	radius per level	30	Frames of fire	15	Frames of fire per level					1	radius synergy	45	damage synergy	24								8															fire	80	20	40	60	80	100	100	20	40	60	80	100	(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl)+skill('Nova'.blvl)+skill('Thunder Storm'.blvl))*par8/16									500
Energy Shield	54	sor	energy shield		23																	energyshield		ln12														absorbdamage	24																																						sorceress_cast_lightning				sorceress_energyshield					energyshieldhit0		light_cast_2																					1	4		none												SC	SC	xx																										24	25					Charged Bolt	Telekinesis													1	8	20	2	1	1									"min(edmn,95)"	damage absorption	par5-(skill('Telekinesis'.blvl)/2+skill('Teleport'.blvl)/2+skill('Static Field'.blvl)/2)	ratio					3600	duration	1500	additional duration/level					48	Mana Damage mult in sixteenths							24								8																20	5	2	1	1	1																500
Blizzard	55	sor	blizzard		28												blizzardcenter	blizzardcenter	blizzardcenter																																																										sorceress_cast_cold											ice_cast_3				28					blizzardcenter												1	7		none												SC	SC	xx					4				1								1						sorceress_cast_cold	ice_cast_3		24	25					Glacial Spike							7							1	8	23	1	1										par1	radius	par3	frequency					7	radius			3	Missile delay	0	Change duration in Missiles.xls					5	freeze synergy	36	damage synergy	24								8															cold	45	15	30	45	55	65	60	15	30	45	60	75	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8/16	100				(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par7				500
Chilling Armor	56	sor	chilling armor		18												chillingarmorbolt					chillingarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par7		skill_armor_percent	ln12+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par2											hitbymissile	1																																						sorceress_cast_cold				sorceress_shiverarmor							ice_cast_3	chillarmor_hit								chillingarmorbolt												1	5		none												SC	SC	xx																	1						sorceress_cast_cold			24	25					Glacial Spike	Frozen Armor													1	8	17	0	1	1																	100	% AC Bonus	20	% AC bonus per level	3600	duration	300	duration per level			10	freeze synergy	250	duration synergy	90	damage synergy	24								7															cold	15	15	15	30	45	60	30	15	30	30	45	60	(skill('Warmth'.blvl)+skill('Frozen Armor'.blvl))*par8/16	100		25	25	(skill('Warmth'.blvl)+skill('Frozen Armor'.blvl))*par6				500
Frost Nova	57	sor	frost nova		22												frostnova	frostnova	frostnova																																																										sorceress_cast_cold											ice_cast_2				25					frostnova												1	6		none												SC	SC	SC																	36	10					sorceress_cast_cold			32	20					Chilling Armor														1	8	9	1	1																		9	radius of freeze	3	additional radius/level									5	freeze synergy	32	damage synergy	32								7															cold	5	5	5	10	10	15	10	5	10	10	15	15	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8/16	200	25	25	25	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par7				500
Nova	58	sor	nova		22												nova	nova	nova																																																										sorceress_cast_lightning											fire_cast_2				25					nova												1	2		none												SC	SC	xx																	36	10					sorceress_cast_lightning			32	20					Meteor														1	8	15	1	1																		12	number of missiles	4	additional missiles per level											40	damage synergy	32								8															fire	4	4	6	8	10	12	8	4	6	8	10	12	(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl)+skill('Meteor'.blvl)+skill('Thunder Storm'.blvl))*par8/16									500
Hydra	59	sor	hydra	14	144																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)									hydra1	hydra	99	S2	HydraMissile	lvl	Fire Bolt	skill('Fire Bolt'.blvl)	Fire Ball	skill('Fire Ball'.blvl)							1	sorceress_cast_fire											light_cast_1			17																		1	7		none												SC	SC	S1					4												1				1		sorceress_cast_fire	fire_cast_2		32	20					Inferno							15							1	7	40	1	1																		250	duration	5	additional duration/level									5	duration synergy	40	damage synergy	32								7															ltng	30	20	30	40	50	60	60	20	30	40	50	60	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Inferno'.blvl)+skill('Chain Lightning'.blvl))*par8/16									500
Chain Lightning	60	sor	chain lightning		26												chainlightning	chainlightning	chainlightning						par1																																																				sorceress_cast_lightning											light_cast_1				27					chainlightning	chainlightning	chainlightning										1	2		none												SC	SC	SC	12																151	96					sorceress_cast_lightning			40	20					Hydra								1						1	8	9	1	1										ln34 / par5	# hits							20	radius of jump to next target			26	bolts (5ths)	3	bolts per level (5ths)	5	5ths					35	damage synergy	40								8															ltng	1	0	0	0	0	0	90	10	15	20	25	30	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Inferno'.blvl)+skill('Hydra'.blvl))*par8/16									500
Thunder Storm	61	sor	thunder storm	13	29												thunderstorm1					thunderstorm		ln12																																																					sorceress_thunder_cast									lightning		fire_cast_2					84				thunderstorm1												1	5		none												SC	SC	xx																										40	20					Nova														1	6	76	1	1			1	(100-dm56) * par4/100 + par3														1000	duration	250	additional duration/level	5	minimum repeat time	10	repeat time factor	0	min % repeat time	100	max % repeat time	17	radius	35	damage synergy	40								7															fire	2	4	6	8	10	12	40	4	6	8	10	12	(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl)+skill('Meteor'.blvl)+skill('Nova'.blvl))*par8/16									500
Fire Mastery	62	sor	fire mastery																																											firemastery		passive_fire_mastery	ln12																																																												1	3		none												SC	SC	xx																										40	20													1						0	8	0	0	1						1												60	% Damage bonus	6	% Damage bonus per level													40								8															fire																						500
Lightning Mastery	63	sor	lightning mastery																																											lightningmastery		passive_ltng_mastery	ln12																																																												1	5		none												SC	SC	xx																										40	20													1						0	8	0	0	1						1												60	% Damage bonus	6	% Damage bonus per level													40								8															ltng																						500
Frozen Orb	64	sor	frozen orb											frozenorb																																																															sorceress_cast_cold											ice_cast_3				29					frozenorb												1	8		none												SC	SC	xx																	1						sorceress_cast_cold			40	20					Blizzard							20	1						1	7	50	1	1																														5	freeze synergy	28	damage synergy	40								7															cold	60	20	25	30	35	40	90	20	25	30	35	40	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl))*par8/16	200	25	25	25	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl))*par7				500
Cold Mastery	65	sor	cold mastery																																											coldmastery		passive_cold_mastery	ln12																																																												1	3		none												SC	SC	xx																										40	20													1						0	8	0	0	1						1												60	% Damage bonus	6	% Damage bonus per level													40								8																																					500
Amplify Damage	66	nec	amplify damage		30																3		amplifydamage	ln34+((skill('Iron Maiden'.blvl)+skill('Life Tap'.blvl)+skill('Decrepify'.blvl))*par7)	ln12	damageresist	(par5+(skill('Iron Maiden'.blvl)+skill('Life Tap'.blvl)+skill('Decrepify'.blvl))*par8)																																																		necromancer_curse_cast														18	30					curseamplifydamage		cursecast										1	10		none												SC	SC	S2					4												1						necromancer_curse_cast			1	40																			1	8	4	0	1																		3	radius	1	radius per level	200	duration	75	additional duration/level	-100	% additional damage taken			25	duration synergy	-3	damage synergy	1								8																																					500
Bone Armor	67	nec	bone armor		18																	bonearmor				bonearmor	(ln12 + (skill('Bone Wall'.blvl) + skill('Bone Prison'.blvl) + skill('Bone Spirit'.blvl) + skill('Teeth'.blvl)) * par8)*256	bonearmormax	(ln12 + (skill('Bone Wall'.blvl) + skill('Bone Prison'.blvl) + skill('Bone Spirit'.blvl) + skill('Teeth'.blvl)) * par8)*256									absorbdamage	22																																						necromancer_bonearmor																																1	3		none												SC	SC	xx																	1						necromancer_bonearmor			1	40																			1	8	10	2	1	1																	20	damage absorbed	10	additional absorbed/level											5	absorb synergy	1								8																																					500
Skeleton Mastery	68	nec	skeleton mastery																																											skel_mastery																																																															1	0		none												SC	SC	xx																										1	40					Revive														0	8	0	0	1						1												8	additional hit points/level	2	additional damage per level	5	hp% per level for revive	25	dmg% per level for revive									1								8																																					500
Poison Dagger	69	nec	poison dagger	16	32																																																																																																								1	4		h2h		knif	necr	swor								A1	A1	xx						1	1								1											1	40													1						1	6	12	1	1																																120	damage synergy	1	30	20						3	128														pois	6	6	12	18	24	32	12	6	12	18	24	32	(skill('Poison Explosion'.blvl)+skill('Poison Nova'.blvl))*par8/16	50								500
Terror	70	nec	terror		30																2		terror	ln34+((skill('Confuse'.blvl)+skill('Attract'.blvl)+skill('Decrepify'.blvl))*par8)	ln12																																																				necromancer_curse_cast														18	30					curseterror		cursecast										1	0		none												SC	SC	xx					4												1						necromancer_curse_cast			1	40																			1	8	7	0	1																		4	radius	0	radius per level	200	duration	25	additional duration/level	24	Distance to run	2	Distance per level			25	duration synergy	1								8																																					500
